"time","season","pop","y","o104wk"
13,"2007",82217837,1178,0
14,"2007",82217837,1530,0
15,"2007",82217837,2323,0
16,"2007",82217837,2757,0
17,"2007",82217837,3365,0
18,"2007",82217837,4359,0
19,"2007",82217837,4945,0
20,"2007",82217837,5360,0
21,"2007",82174740.7246094,5557,0
22,"2007",82131644.6660156,3213,0
23,"2007",82088548.3417969,4935,0
24,"2007",82045452.2441406,7727,0
25,"2007",82002356,8191,0
26,"2007",82002356,7670,0
27,"2007",82002356,5765,0
28,"2007",82002356,5036,0
29,"2007",82002356,5101,0
30,"2007",82002356,4782,0
31,"2007",82002356,4614,0
32,"2007",82002356,3949,0
33,"2007",82002356,3328,0
34,"2007",82002356,2514,0
35,"2007",82002356,2201,0
36,"2007",82002356,2503,0
37,"2007",82002356,2461,0
38,"2007",82002356,2352,0
39,"2007",82002356,2173,0
40,"2007",82002356,1395,0
41,"2007",82002356,1505,0
42,"2007",82002356,1038,0
43,"2007",82002356,955,0
44,"2007",82002356,1036,0
45,"2007",82002356,689,0
46,"2007",82002356,560,0
47,"2007",82002356,580,0
48,"2007",82002356,525,0
49,"2007",82002356,477,0
50,"2007",82002356,457,0
51,"2007",82002356,459,0
52,"2007",82002356,361,0
1,"2008",82002356,347,0
2,"2008",82002356,436,0
3,"2008",82002356,390,0
4,"2008",82002356,451,0
5,"2008",82002356,436,0
6,"2008",82002356,475,0
7,"2008",82002356,533,0
8,"2008",82002356,539,0
9,"2008",82002356,684,0
10,"2008",82002356,578,0
11,"2008",82002356,793,0
12,"2008",82002356,936,0
13,"2008",82002356,974,0
14,"2008",82002356,1030,0
15,"2008",82002356,1329,0
16,"2008",82002356,1643,0
17,"2008",82002356,1962,0
18,"2008",82002356,2271,0
19,"2008",82002356,3292,0
20,"2008",82002356,3950,0
21,"2008",81962335.9511719,4656,0
22,"2008",81922316.3828125,2723,0
23,"2008",81882296.6015625,2782,0
24,"2008",81842277.1152344,4918,0
25,"2008",81802257,5598,0
26,"2008",81802257,6227,0
27,"2008",81802257,5984,0
28,"2008",81802257,6254,0
29,"2008",81802257,5857,0
30,"2008",81802257,5673,0
31,"2008",81802257,5132,0
32,"2008",81802257,4891,0
33,"2008",81802257,4414,0
34,"2008",81802257,3763,0
35,"2008",81802257,3352,0
36,"2008",81802257,3076,0
37,"2008",81802257,2173,0
38,"2008",81802257,1594,0
39,"2008",81802257,1471,0
40,"2008",81802257,1129,0
41,"2008",81802257,1377,0
42,"2008",81802257,1047,0
43,"2008",81802257,770,0
44,"2008",81802257,762,0
45,"2008",81802257,503,0
46,"2008",81802257,527,0
47,"2008",81802257,507,0
48,"2008",81802257,530,0
49,"2008",81802257,450,0
50,"2008",81802257,379,0
51,"2008",81802257,341,0
52,"2008",81802257,300,0
1,"2009",81802257,324,0
2,"2009",81802257,311,0
3,"2009",81802257,377,0
4,"2009",81802257,409,0
5,"2009",81802257,446,0
6,"2009",81802257,487,0
7,"2009",81802257,550,0
8,"2009",81802257,625,0
9,"2009",81802257,531,0
10,"2009",81802257,621,0
11,"2009",81802257,730,0
12,"2009",81802257,818,0
13,"2009",81802257,994,0
14,"2009",81802257,1251,0
15,"2009",81802257,1477,0
16,"2009",81802257,1807,0
17,"2009",81802257,1975,0
18,"2009",81802257,1956,0
19,"2009",81802257,1935,0
