GENESIS-Tabelle: Temporär
Bevölkerung: Deutschland, Stichtag, Altersjahre,;;;;
Nationalität/Geschlecht/Familienstand;;;;
Fortschreibung des Bevölkerungsstandes;;;;
Deutschland;;;;
Bevölkerungsstand (Anzahl);;;;
;;Geschlecht;Geschlecht;Geschlecht
;;männlich;weiblich;Insgesamt
31.12.2011;3-Jährige;353487;336204;689691
31.12.2011;4-Jährige;354101;335647;689748
31.12.2011;5-Jährige;348046;329292;677338
31.12.2011;6-Jährige;352481;334787;687268
31.12.2011;7-Jährige;362049;343904;705953
31.12.2011;8-Jährige;362379;344265;706644
31.12.2011;9-Jährige;369640;350483;720123
31.12.2011;10-Jährige;379094;358677;737771
31.12.2011;11-Jährige;395373;375808;771181
31.12.2011;12-Jährige;397227;376312;773539
31.12.2011;13-Jährige;405287;385472;790759
31.12.2011;14-Jährige;418001;397843;815844
31.12.2011;15-Jährige;411488;390419;801907
31.12.2011;16-Jährige;399529;379122;778651
31.12.2011;17-Jährige;405181;384207;789388
31.12.2011;18-Jährige;420300;399178;819478
31.12.2011;19-Jährige;428585;409937;838522
31.12.2011;20-Jährige;449237;430391;879628
31.12.2011;21-Jährige;497885;476995;974880
31.12.2011;22-Jährige;494404;475624;970028
31.12.2011;23-Jährige;512860;492088;1004948
31.12.2011;24-Jährige;506758;485835;992593
31.12.2011;25-Jährige;499365;483393;982758
31.12.2011;26-Jährige;484494;470021;954515
31.12.2011;27-Jährige;485568;471646;957214
31.12.2011;28-Jährige;489574;477411;966985
31.12.2011;29-Jährige;502860;491075;993935
31.12.2011;30-Jährige;498101;492539;990640
31.12.2011;31-Jährige;499241;495397;994638
31.12.2011;32-Jährige;477058;473287;950345
31.12.2011;33-Jährige;472233;467930;940163
31.12.2011;34-Jährige;469563;464605;934168
31.12.2011;35-Jährige;460545;458118;918663
31.12.2011;36-Jährige;449668;445255;894923
31.12.2011;37-Jährige;456093;454315;910408
31.12.2011;38-Jährige;461806;459567;921373
31.12.2011;39-Jährige;504448;499631;1004079
31.12.2011;40-Jährige;559335;551398;1110733
31.12.2011;41-Jährige;581744;573174;1154918
31.12.2011;42-Jährige;629955;615826;1245781
31.12.2011;43-Jährige;661704;646200;1307904
31.12.2011;44-Jährige;681421;665873;1347294
31.12.2011;45-Jährige;703638;685674;1389312
31.12.2011;46-Jährige;708958;687675;1396633
31.12.2011;47-Jährige;722224;702860;1425084
31.12.2011;48-Jährige;716915;698687;1415602
31.12.2011;49-Jährige;692770;679359;1372129
31.12.2011;50-Jährige;681686;672778;1354464
31.12.2011;51-Jährige;658318;651174;1309492
31.12.2011;52-Jährige;641076;634292;1275368
31.12.2011;53-Jährige;605312;600035;1205347
31.12.2011;54-Jährige;590934;588475;1179409
31.12.2011;55-Jährige;572971;574344;1147315
31.12.2011;56-Jährige;552415;560430;1112845
31.12.2011;57-Jährige;537623;554749;1092372
31.12.2011;58-Jährige;517896;539432;1057328
31.12.2011;59-Jährige;516469;539263;1055732
31.12.2011;60-Jährige;505374;528753;1034127
31.12.2011;61-Jährige;504199;528754;1032953
31.12.2011;62-Jährige;488439;510179;998618
31.12.2011;63-Jährige;446402;465029;911431
31.12.2011;64-Jährige;415921;438520;854441
31.12.2011;65-Jährige;360573;383150;743723
31.12.2011;66-Jährige;311783;339695;651478
31.12.2011;67-Jährige;415717;451702;867419
31.12.2011;68-Jährige;419615;457085;876700
31.12.2011;69-Jährige;402603;442821;845424
31.12.2011;70-Jährige;480974;539956;1020930
31.12.2011;71-Jährige;496958;568121;1065079
31.12.2011;72-Jährige;479613;558229;1037842
31.12.2011;73-Jährige;437250;516031;953281
31.12.2011;74-Jährige;396644;478768;875412
31.12.2011;75-Jährige;370645;460002;830647
31.12.2011;76-Jährige;344499;438410;782909
31.12.2011;77-Jährige;305868;399917;705785
31.12.2011;78-Jährige;233524;316284;549808
31.12.2011;79-Jährige;219102;308721;527823
31.12.2011;80-Jährige;208649;306544;515193
31.12.2011;81-Jährige;203389;313686;517075
31.12.2011;82-Jährige;182267;293571;475838
31.12.2011;83-Jährige;164421;276851;441272
31.12.2011;84-Jährige;134331;249722;384053
31.12.2011;85 Jahre und mehr;504926;1430815;1935741
31.12.2011;Insgesamt;39229947;41097953;80327900
31.12.2012;unter 1 Jahr;345987;328424;674411
31.12.2012;1-Jährige;341450;324398;665848
31.12.2012;2-Jährige;350534;333776;684310
31.12.2012;3-Jährige;345843;328157;674000
31.12.2012;4-Jährige;355497;338176;693673
31.12.2012;5-Jährige;355946;337377;693323
31.12.2012;6-Jährige;349430;330494;679924
31.12.2012;7-Jährige;354047;336208;690255
31.12.2012;8-Jährige;363634;345307;708941
31.12.2012;9-Jährige;364094;345772;709866
31.12.2012;10-Jährige;371262;351900;723162
31.12.2012;11-Jährige;380625;360084;740709
31.12.2012;12-Jährige;397086;377333;774419
31.12.2012;13-Jährige;398743;377762;776505
31.12.2012;14-Jährige;406763;386794;793557
31.12.2012;15-Jährige;419850;399231;819081
31.12.2012;16-Jährige;413981;392199;806180
31.12.2012;17-Jährige;401881;380842;782723
31.12.2012;18-Jährige;409325;387726;797051
31.12.2012;19-Jährige;427173;405897;833070
31.12.2012;20-Jährige;436659;418170;854829
31.12.2012;21-Jährige;457637;438410;896047
31.12.2012;22-Jährige;506959;485243;992202
31.12.2012;23-Jährige;504480;484370;988850
31.12.2012;24-Jährige;522826;499927;1022753
31.12.2012;25-Jährige;516186;492943;1009129
31.12.2012;26-Jährige;508240;489744;997984
31.12.2012;27-Jährige;492650;475815;968465
31.12.2012;28-Jährige;493215;476747;969962
31.12.2012;29-Jährige;496340;481999;978339
31.12.2012;30-Jährige;509069;495268;1004337
31.12.2012;31-Jährige;503976;496479;1000455
31.12.2012;32-Jährige;504384;499255;1003639
31.12.2012;33-Jährige;482236;476648;958884
31.12.2012;34-Jährige;476846;470965;947811
31.12.2012;35-Jährige;473924;467494;941418
31.12.2012;36-Jährige;464830;460737;925567
31.12.2012;37-Jährige;453873;447891;901764
31.12.2012;38-Jährige;459627;456664;916291
31.12.2012;39-Jährige;465095;461881;926976
31.12.2012;40-Jährige;507509;501782;1009291
31.12.2012;41-Jährige;562426;553128;1115554
31.12.2012;42-Jährige;584257;574871;1159128
31.12.2012;43-Jährige;632277;617164;1249441
31.12.2012;44-Jährige;663538;647571;1311109
31.12.2012;45-Jährige;682713;667014;1349727
31.12.2012;46-Jährige;704379;686405;1390784
31.12.2012;47-Jährige;709241;688004;1397245
31.12.2012;48-Jährige;722309;703098;1425407
31.12.2012;49-Jährige;716393;698645;1415038
31.12.2012;50-Jährige;691967;679132;1371099
31.12.2012;51-Jährige;680451;672380;1352831
31.12.2012;52-Jährige;656755;650605;1307360
31.12.2012;53-Jährige;639144;633395;1272539
31.12.2012;54-Jährige;603042;599063;1202105
31.12.2012;55-Jährige;588349;587365;1175714
31.12.2012;56-Jährige;569966;572893;1142859
31.12.2012;57-Jährige;548968;558701;1107669
31.12.2012;58-Jährige;533700;552881;1086581
31.12.2012;59-Jährige;513489;537307;1050796
31.12.2012;60-Jährige;511566;536691;1048257
31.12.2012;61-Jährige;500160;526007;1026167
31.12.2012;62-Jährige;498521;525646;1024167
31.12.2012;63-Jährige;482106;506993;989099
31.12.2012;64-Jährige;440203;461711;901914
31.12.2012;65-Jährige;409528;435041;844569
31.12.2012;66-Jährige;354444;379811;734255
31.12.2012;67-Jährige;306329;336545;642874
31.12.2012;68-Jährige;407759;447193;854952
31.12.2012;69-Jährige;411093;452372;863465
31.12.2012;70-Jährige;393870;437776;831646
31.12.2012;71-Jährige;469677;533179;1002856
31.12.2012;72-Jährige;484252;560362;1044614
31.12.2012;73-Jährige;465943;549981;1015924
31.12.2012;74-Jährige;423782;507450;931232
31.12.2012;75-Jährige;383067;469763;852830
31.12.2012;76-Jährige;356626;449952;806578
31.12.2012;77-Jährige;329803;427405;757208
31.12.2012;78-Jährige;291345;388458;679803
31.12.2012;79-Jährige;220938;305692;526630
31.12.2012;80-Jährige;205791;296941;502732
31.12.2012;81-Jährige;194328;293235;487563
31.12.2012;82-Jährige;187993;297883;485876
31.12.2012;83-Jährige;166713;276704;443417
31.12.2012;84-Jährige;148968;258276;407244
31.12.2012;85 Jahre und mehr;543095;1455792;1998887
31.12.2012;Insgesamt;39380976;41142770;80523746
31.12.2013;unter 1 Jahr;350282;332788;683070
31.12.2013;1-Jährige;351068;333269;684337
31.12.2013;2-Jährige;344706;327618;672324
31.12.2013;3-Jährige;353478;336633;690111
31.12.2013;4-Jährige;348767;330883;679650
31.12.2013;5-Jährige;358151;340856;699007
31.12.2013;6-Jährige;358017;339320;697337
31.12.2013;7-Jährige;351653;332667;684320
31.12.2013;8-Jährige;356195;338362;694557
31.12.2013;9-Jährige;365864;347475;713339
31.12.2013;10-Jährige;366240;347814;714054
31.12.2013;11-Jährige;373361;353805;727166
31.12.2013;12-Jährige;382694;361982;744676
31.12.2013;13-Jährige;399112;379174;778286
31.12.2013;14-Jährige;400750;379448;780198
31.12.2013;15-Jährige;408980;388627;797607
31.12.2013;16-Jährige;422872;401418;824290
31.12.2013;17-Jährige;416947;394253;811200
31.12.2013;18-Jährige;408153;385137;793290
31.12.2013;19-Jährige;418858;395252;814110
31.12.2013;20-Jährige;436867;415251;852118
31.12.2013;21-Jährige;446567;426913;873480
31.12.2013;22-Jährige;467865;446854;914719
31.12.2013;23-Jährige;518724;494482;1013206
31.12.2013;24-Jährige;515501;493007;1008508
31.12.2013;25-Jährige;533628;507705;1041333
31.12.2013;26-Jährige;526086;499767;1025853
31.12.2013;27-Jährige;517476;495944;1013420
31.12.2013;28-Jährige;501364;481596;982960
31.12.2013;29-Jährige;500818;482042;982860
31.12.2013;30-Jährige;503255;486678;989933
31.12.2013;31-Jährige;515210;499939;1015149
31.12.2013;32-Jährige;509577;500479;1010056
31.12.2013;33-Jährige;510197;503081;1013278
31.12.2013;34-Jährige;487231;480322;967553
31.12.2013;35-Jährige;481572;474474;956046
31.12.2013;36-Jährige;478577;470570;949147
31.12.2013;37-Jährige;469018;463710;932728
31.12.2013;38-Jährige;457821;450630;908451
31.12.2013;39-Jährige;463438;459295;922733
31.12.2013;40-Jährige;468173;464328;932501
31.12.2013;41-Jährige;510639;504019;1014658
31.12.2013;42-Jährige;565145;555059;1120204
31.12.2013;43-Jährige;586640;576696;1163336
31.12.2013;44-Jährige;634234;618966;1253200
31.12.2013;45-Jährige;665347;649023;1314370
31.12.2013;46-Jährige;683925;668124;1352049
31.12.2013;47-Jährige;704848;687004;1391852
31.12.2013;48-Jährige;709382;688428;1397810
31.12.2013;49-Jährige;722133;703380;1425513
31.12.2013;50-Jährige;715616;698830;1414446
31.12.2013;51-Jährige;690842;678865;1369707
31.12.2013;52-Jährige;678840;671885;1350725
31.12.2013;53-Jährige;654794;649900;1304694
31.12.2013;54-Jährige;636781;632505;1269286
31.12.2013;55-Jährige;600210;598011;1198221
31.12.2013;56-Jährige;585174;585935;1171109
31.12.2013;57-Jährige;566492;571272;1137764
31.12.2013;58-Jährige;544901;556882;1101783
31.12.2013;59-Jährige;529193;550822;1080015
31.12.2013;60-Jährige;508704;534936;1043640
31.12.2013;61-Jährige;506181;533996;1040177
31.12.2013;62-Jährige;494624;523143;1017767
31.12.2013;63-Jährige;492253;522229;1014482
31.12.2013;64-Jährige;475445;503439;978884
31.12.2013;65-Jährige;433448;457923;891371
31.12.2013;66-Jährige;402581;431202;833783
31.12.2013;67-Jährige;348044;376186;724230
31.12.2013;68-Jährige;300284;333074;633358
31.12.2013;69-Jährige;399393;442260;841653
31.12.2013;70-Jährige;402015;447112;849127
31.12.2013;71-Jährige;384523;432185;816708
31.12.2013;72-Jährige;457559;525888;983447
31.12.2013;73-Jährige;470617;551988;1022605
31.12.2013;74-Jährige;451644;540789;992433
31.12.2013;75-Jährige;409514;498126;907640
31.12.2013;76-Jährige;368683;459667;828350
31.12.2013;77-Jährige;341630;438833;780463
31.12.2013;78-Jährige;314317;415265;729582
31.12.2013;79-Jährige;276006;375694;651700
31.12.2013;80-Jährige;207639;294008;501647
31.12.2013;81-Jährige;192103;284116;476219
31.12.2013;82-Jährige;179748;278556;458304
31.12.2013;83-Jährige;171834;280616;452450
31.12.2013;84-Jährige;150781;258308;409089
31.12.2013;85 Jahre und mehr;587104;1481547;2068651
31.12.2013;Insgesamt;39556923;41210540;80767463
31.12.2014;unter 1 Jahr;367554;348855;716409
31.12.2014;1-Jährige;357007;338916;695923
31.12.2014;2-Jährige;356234;338018;694252
31.12.2014;3-Jährige;347341;329795;677136
31.12.2014;4-Jährige;353572;335682;689254
31.12.2014;5-Jährige;349247;330080;679327
31.12.2014;6-Jährige;357879;339951;697830
31.12.2014;7-Jährige;358115;338369;696484
31.12.2014;8-Jährige;352129;331881;684010
31.12.2014;9-Jährige;358134;339592;697726
31.12.2014;10-Jährige;370516;351725;722241
31.12.2014;11-Jährige;370827;352025;722852
31.12.2014;12-Jährige;377714;357881;735595
31.12.2014;13-Jährige;387159;366133;753292
31.12.2014;14-Jährige;403424;383220;786644
31.12.2014;15-Jährige;405597;383278;788875
31.12.2014;16-Jährige;415367;392757;808124
31.12.2014;17-Jährige;428950;405356;834306
31.12.2014;18-Jährige;426284;399655;825939
31.12.2014;19-Jährige;419447;392497;811944
31.12.2014;20-Jährige;427308;400737;828045
31.12.2014;21-Jährige;443187;417416;860603
31.12.2014;22-Jährige;463523;439773;903296
31.12.2014;23-Jährige;484604;459031;943635
31.12.2014;24-Jährige;534648;505424;1040072
31.12.2014;25-Jährige;528535;501968;1030503
31.12.2014;26-Jährige;544545;514104;1058649
31.12.2014;27-Jährige;533866;504631;1038497
31.12.2014;28-Jährige;524712;501025;1025737
31.12.2014;29-Jährige;511124;492879;1004003
31.12.2014;30-Jährige;511724;494354;1006078
31.12.2014;31-Jährige;515077;499936;1015013
31.12.2014;32-Jährige;528787;513132;1041919
31.12.2014;33-Jährige;522400;511377;1033777
31.12.2014;34-Jährige;519522;509369;1028891
31.12.2014;35-Jährige;494785;486089;980874
31.12.2014;36-Jährige;489033;479302;968335
31.12.2014;37-Jährige;484708;475077;959785
31.12.2014;38-Jährige;474612;467827;942439
31.12.2014;39-Jährige;462507;454641;917148
31.12.2014;40-Jährige;467864;462890;930754
31.12.2014;41-Jährige;471759;467796;939555
31.12.2014;42-Jährige;513402;507092;1020494
31.12.2014;43-Jährige;568416;558563;1126979
31.12.2014;44-Jährige;591780;580847;1172627
31.12.2014;45-Jährige;638838;622655;1261493
31.12.2014;46-Jährige;669905;652522;1322427
31.12.2014;47-Jährige;687492;670951;1358443
31.12.2014;48-Jährige;708214;689246;1397460
31.12.2014;49-Jährige;711851;690020;1401871
31.12.2014;50-Jährige;723748;704282;1428030
31.12.2014;51-Jährige;716431;699163;1415594
31.12.2014;52-Jährige;690933;678410;1369343
31.12.2014;53-Jährige;677730;671997;1349727
31.12.2014;54-Jährige;652352;651664;1304016
31.12.2014;55-Jährige;633862;633453;1267315
31.12.2014;56-Jährige;596810;598113;1194923
31.12.2014;57-Jährige;581453;585246;1166699
31.12.2014;58-Jährige;562236;570449;1132685
31.12.2014;59-Jährige;539912;555381;1095293
31.12.2014;60-Jährige;523820;548499;1072319
31.12.2014;61-Jährige;502586;532118;1034704
31.12.2014;62-Jährige;499429;531074;1030503
31.12.2014;63-Jährige;486459;518516;1004975
31.12.2014;64-Jährige;482788;516333;999121
31.12.2014;65-Jährige;465267;497139;962406
31.12.2014;66-Jährige;423886;451944;875830
31.12.2014;67-Jährige;393810;425460;819270
31.12.2014;68-Jährige;339915;370505;710420
31.12.2014;69-Jährige;293723;328368;622091
31.12.2014;70-Jährige;390012;435863;825875
31.12.2014;71-Jährige;391873;440318;832191
31.12.2014;72-Jährige;374892;425415;800307
31.12.2014;73-Jährige;444529;517241;961770
31.12.2014;74-Jährige;456520;542346;998866
31.12.2014;75-Jährige;437154;530426;967580
31.12.2014;76-Jährige;395173;487378;882551
31.12.2014;77-Jährige;354474;448720;803194
31.12.2014;78-Jährige;326798;426607;753405
31.12.2014;79-Jährige;299102;402293;701395
31.12.2014;80-Jährige;260648;362093;622741
31.12.2014;81-Jährige;194785;281614;476399
31.12.2014;82-Jährige;178610;270549;449159
31.12.2014;83-Jährige;165547;263252;428799
31.12.2014;84-Jährige;156537;263135;419672
31.12.2014;85 Jahre und mehr;630582;1510222;2140804
31.12.2014;Insgesamt;39835611;41361926;81197537
_____
Bis 1989: Früheres Bundesgebiet

Ab 2011: Ergebnisse auf Grundlage des Zensus 2011.
_____
(C)opyright Statistisches Bundesamt, Wiesbaden 2015
Stand: 06.11.2015 / 21:41:36
